"station_id","name","capacity","num_bikes_available","num_docks_available","last_reported","lat","lon","is_installed","is_renting","is_returning"
"7209","Ossington Ave / Harrison St",19,14,3,1751972991,43.6511111111111,-79.4213888888889,1,1,1
"7210","Mary McCormick Rec Centre (Sheridan Ave)",15,11,2,1751972877,43.6475,-79.4330555555556,1,1,1
"7211","Fort York Blvd / Garrison Rd",15,10,4,1751972880,43.637381,-79.406112,1,1,1
"7216","Wellington St W / Stafford St",23,19,3,1751972947,43.6409957,-79.4096663,1,1,1
"7217","Soho St / Queen St W",14,4,8,1751972845,43.6496497142916,-79.3937214135265,1,1,1
"7220","Lake Shore Blvd W / Ellis Ave",19,15,3,1751972884,43.635932,-79.465083,1,1,1
"7221","High Park Subway Station",11,3,7,1751972912,43.6543604,-79.4655296,1,1,1
"7222","Sunnyside - Gus Ryder Pool",27,13,12,1751972998,43.637894,-79.454823,1,1,1
"7223","Parkside Dr / Bloor St W - SMART",12,1,7,1751973004,43.654501,-79.460053,1,1,1
"7224","Bloor St W / High Park Ave (High Park)",23,4,19,1751972975,43.6535269,-79.4650569,1,1,1
"7225","Lake Shore Blvd W / Windermere Ave",19,6,8,1751972913,43.634896,-79.467763,1,1,1
"7226","Lake Shore Blvd W / The Boulevard Club",19,15,2,1751973003,43.636731,-79.444966,1,1,1
"7227","Martin Goodman Trail (Marilyn Bell Park)",31,23,7,1751972865,43.6314,-79.4304,1,1,1
"7228","King St W / Wilson Park Blvd",19,18,0,1751972874,43.6372958,-79.4423237,1,1,1
"7229","Dundas St W / Roncesvalles Ave Green P -SMART",12,5,7,1751973015,43.6534268,-79.4512787,1,1,1
"7230","Garden Ave / Roncesvalles Ave",19,12,5,1751972974,43.643769,-79.447915,1,1,1
"7231","Wright Ave / Sorauren Ave - SMART",18,16,0,1751972908,43.646677,-79.442741,1,1,1
"7232","Queen St W  /  Fuller Ave - SMART",16,15,0,1751972933,43.640255,-79.439223,1,1,1
"7233","King St W / Cowan Ave - SMART",16,12,4,1751972964,43.637922,-79.431734,1,1,1
"7234","Roncesvalles Ave / Marmaduke St",19,5,14,1751972875,43.650492,-79.450842,1,1,1
"7235","Bay St / College St (West Side) - SMART",16,0,15,1751972858,43.660087,-79.385655,1,1,1
"7236","Thompson St / Broadview Ave - SMART",24,21,0,1751972998,43.659471,-79.350325,1,1,1
"7237","Ward St / Wallace Ave",15,8,5,1751972913,43.662857,-79.44618,1,1,1
"7238","Sorauren Ave / Geoffrey St - SMART",16,14,2,1751972950,43.649172,-79.4445087,1,1,1
"7239","Bloor St W / Manning Ave - SMART",42,32,10,1751972876,43.663912,-79.416124,1,1,1
"7240","Bloor St W / Shaw St - SMART",34,22,11,1751972901,43.662403,-79.423098,1,1,1
"7241","519 Church St ",11,0,10,1751972993,43.6668334195837,-79.3812039105412,1,1,1
"7242","Lake Shore Blvd W / Ontario Dr",35,1,30,1751972944,43.630254,-79.420317,1,1,1
"7243","Exhibition GO Station",14,2,11,1751972911,43.6352007,-79.4187711,1,1,1
"7244","Dufferin Gate - SMART",16,11,3,1751972861,43.633473,-79.425679,1,1,1
"7246","Yonge St / Bloor St",19,2,16,1751972887,43.669969,-79.386532,1,1,1
"7247","Howard Park Ave / Dundas St W - SMART",12,3,8,1751972876,43.6521,-79.4486,1,1,1
"7248","Baldwin St / Spadina Ave - SMART",20,3,16,1751972999,43.654905,-79.398448,1,1,1
"7249","144 Harrison St",51,36,5,1751972845,43.651145,-79.423742,1,1,1
"7250","Ursula Franklin St / St. George St - SMART",16,0,16,1751972865,43.660296,-79.397107,1,1,1
"7252","Robert St / Bloor St W - SMART",18,0,18,1751972981,43.665846,-79.404998,1,1,1
