"station_id","name","capacity","num_bikes_available","num_docks_available","last_reported","lat","lon","is_installed","is_renting","is_returning","capture_timestamp"
7227,"Martin Goodman Trail (Marilyn Bell Park)",31,22,4,1751943799,43.6314,-79.4304,1,1,1,2025-07-07 23:03:34
7228,"King St W / Wilson Park Blvd",19,18,0,1751943813,43.6372958,-79.4423237,1,1,1,2025-07-07 23:03:34
7229,"Dundas St W / Roncesvalles Ave Green P -SMART",12,5,7,1751943781,43.6534268,-79.4512787,1,1,1,2025-07-07 23:03:34
7230,"Garden Ave / Roncesvalles Ave",19,14,2,1751943738,43.643769,-79.447915,1,1,1,2025-07-07 23:03:34
7231,"Wright Ave / Sorauren Ave - SMART",18,14,2,1751943849,43.646677,-79.442741,1,1,1,2025-07-07 23:03:34
7232,"Queen St W  /  Fuller Ave - SMART",16,14,1,1751943866,43.640255,-79.439223,1,1,1,2025-07-07 23:03:34
7233,"King St W / Cowan Ave - SMART",16,14,1,1751943721,43.637922,-79.431734,1,1,1,2025-07-07 23:03:34
7234,"Roncesvalles Ave / Marmaduke St",19,3,15,1751943819,43.650492,-79.450842,1,1,1,2025-07-07 23:03:34
7235,"Bay St / College St (West Side) - SMART",16,1,14,1751943708,43.660087,-79.385655,1,1,1,2025-07-07 23:03:34
7236,"Thompson St / Broadview Ave - SMART",24,19,2,1751943760,43.659471,-79.350325,1,1,1,2025-07-07 23:03:34
7237,"Ward St / Wallace Ave",15,9,4,1751943855,43.662857,-79.44618,1,1,1,2025-07-07 23:03:34
7238,"Sorauren Ave / Geoffrey St - SMART",16,14,2,1751943714,43.649172,-79.4445087,1,1,1,2025-07-07 23:03:34
7239,"Bloor St W / Manning Ave - SMART",42,0,42,1751943816,43.663912,-79.416124,1,1,1,2025-07-07 23:03:34
7240,"Bloor St W / Shaw St - SMART",34,22,12,1751943842,43.662403,-79.423098,1,1,1,2025-07-07 23:03:34
7241,"519 Church St ",11,0,10,1751943758,43.6668334195837,-79.3812039105412,1,1,1,2025-07-07 23:03:34
7242,"Lake Shore Blvd W / Ontario Dr",35,1,30,1751943704,43.630254,-79.420317,1,1,1,2025-07-07 23:03:34
7243,"Exhibition GO Station",14,2,11,1751943831,43.6352007,-79.4187711,1,1,1,2025-07-07 23:03:34
7244,"Dufferin Gate - SMART",16,10,2,1751943799,43.633473,-79.425679,1,1,1,2025-07-07 23:03:34
